ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,TotalVisiting
1,41.0,Self Enquiry,3,1.791759469228055,Salaried,3.0,Deluxe,3.0,Unmarried,1.0,1,2,1,Manager,9.951944327804322,3.0
0,49.0,Company Invited,1,2.6390573296152584,Salaried,4.0,Deluxe,4.0,Divorced,2.0,0,3,1,Manager,9.909966518633837,5.0
1,37.0,Self Enquiry,1,2.0794415416798357,Free Lancer,4.0,Basic,3.0,Unmarried,7.0,1,3,0,Executive,9.746248776109637,3.0
0,33.0,Company Invited,1,2.1972245773362196,Salaried,3.0,Basic,3.0,Divorced,2.0,1,5,1,Executive,9.79305865876674,3.0
0,36.0,Self Enquiry,1,2.0794415416798357,Small Business,3.0,Basic,4.0,Divorced,1.0,0,5,1,Executive,9.82379478362688,2.0
0,32.0,Company Invited,1,2.0794415416798357,Salaried,3.0,Basic,3.0,Unmarried,1.0,0,5,1,Executive,9.801897696774494,4.0
0,59.0,Self Enquiry,1,2.1972245773362196,Small Business,2.0,Basic,5.0,Divorced,5.0,1,2,1,Executive,9.779623565313742,3.0
0,30.0,Self Enquiry,1,3.4011973816621555,Salaried,3.0,Basic,3.0,Married,2.0,0,2,0,Executive,9.780924360113003,4.0
0,38.0,Company Invited,1,3.367295829986474,Salaried,4.0,Standard,3.0,Unmarried,1.0,0,3,0,Senior Manager,10.10748905832197,2.0
0,36.0,Self Enquiry,1,3.4965075614664802,Small Business,3.0,Deluxe,3.0,Divorced,7.0,0,3,1,Manager,9.91526789107166,3.0
0,35.0,Self Enquiry,1,3.091042453358316,Small Business,2.0,Basic,4.0,Divorced,1.0,0,3,1,Executive,9.765718622791232,3.0
0,36.0,Self Enquiry,1,3.044522437723423,Salaried,4.0,Deluxe,3.0,Unmarried,1.0,1,3,0,Manager,10.014447362844386,2.0
0,31.0,Self Enquiry,1,3.4657359027997265,Salaried,3.0,Basic,3.0,Married,2.0,0,3,0,Executive,9.793170328225258,3.0
0,34.0,Self Enquiry,1,3.2188758248682006,Small Business,3.0,Basic,3.0,Married,1.0,0,3,0,Executive,9.779114097696372,5.0
1,28.0,Self Enquiry,1,3.4011973816621555,Salaried,4.0,Basic,3.0,Unmarried,6.0,1,2,0,Executive,9.742614326948043,2.0
0,29.0,Self Enquiry,1,3.295836866004329,Salaried,2.0,Standard,5.0,Married,2.0,0,5,1,Senior Manager,10.125830783679568,3.0
0,32.0,Self Enquiry,1,2.3978952727983707,Salaried,2.0,Basic,4.0,Married,1.0,1,2,1,Executive,9.81454704323948,3.0
0,22.0,Company Invited,1,3.091042453358316,Small Business,2.0,Basic,3.0,Married,2.0,1,3,0,Executive,9.794509389966382,3.0
0,53.0,Self Enquiry,3,2.0794415416798357,Salaried,4.0,Super Deluxe,3.0,Divorced,3.0,0,3,1,AVP,10.323085651110205,3.0
0,36.0,Self Enquiry,1,2.0794415416798357,Salaried,3.0,Basic,3.0,Unmarried,6.0,1,4,0,Executive,10.014447362844386,3.0
0,36.0,Company Invited,1,2.833213344056216,Salaried,2.0,Deluxe,3.0,Married,1.0,0,3,1,Manager,10.014447362844386,5.0
1,36.0,Self Enquiry,3,2.70805020110221,Salaried,4.0,Deluxe,5.0,Unmarried,1.0,0,2,0,Manager,9.820486306032722,2.0
0,34.0,Self Enquiry,1,2.5649493574615367,Salaried,3.0,Standard,4.0,Unmarried,1.0,0,3,1,Senior Manager,10.203369898069226,2.0
0,21.0,Self Enquiry,1,3.044522437723423,Salaried,3.0,Basic,3.0,Unmarried,2.0,0,3,1,Executive,9.694739881505651,4.0
1,34.0,Self Enquiry,1,2.4849066497880004,Small Business,3.0,Basic,5.0,Unmarried,3.0,0,2,1,Executive,9.795902341856191,3.0
0,53.0,Self Enquiry,1,2.3978952727983707,Salaried,3.0,King,3.0,Married,5.0,0,5,0,VP,10.399231263877141,3.0
1,36.0,Company Invited,1,3.091042453358316,Salaried,5.0,Basic,5.0,Unmarried,2.0,1,4,1,Executive,10.014447362844386,5.0
0,42.0,Self Enquiry,3,2.6390573296152584,Small Business,3.0,Deluxe,4.0,Divorced,1.0,0,3,0,Manager,9.990811380707804,3.0
0,44.0,Self Enquiry,1,2.5649493574615367,Small Business,4.0,Standard,3.0,Divorced,4.0,0,4,1,Senior Manager,10.1365022236456,2.0
0,46.0,Self Enquiry,3,2.0794415416798357,Small Business,3.0,King,5.0,Unmarried,4.0,0,2,0,VP,10.399231263877141,3.0
0,33.0,Self Enquiry,1,2.0794415416798357,Small Business,3.0,Basic,3.0,Unmarried,5.0,0,3,1,Executive,9.769727562356604,5.0
0,44.0,Self Enquiry,1,2.772588722239781,Salaried,3.0,Deluxe,3.0,Divorced,3.0,1,3,1,Manager,9.97417898065866,3.0
0,30.0,Self Enquiry,1,2.70805020110221,Small Business,4.0,Basic,3.0,Unmarried,2.0,0,4,1,Executive,9.753013439181293,3.0
1,39.0,Self Enquiry,3,2.3978952727983707,Large Business,3.0,Deluxe,3.0,Divorced,4.0,0,2,0,Manager,9.746014693711563,3.0
1,24.0,Self Enquiry,1,1.791759469228055,Small Business,3.0,Basic,3.0,Divorced,3.0,1,3,1,Executive,9.758057074325922,5.0
0,43.0,Self Enquiry,1,2.0794415416798357,Small Business,2.0,Basic,3.0,Married,2.0,0,2,0,Executive,9.77820773610937,4.0
1,50.0,Self Enquiry,3,2.1972245773362196,Small Business,4.0,Basic,3.0,Divorced,2.0,1,4,0,Executive,9.780359005054978,2.0
0,35.0,Self Enquiry,3,2.0794415416798357,Small Business,3.0,Basic,3.0,Divorced,2.0,0,2,1,Executive,9.74179181353583,3.0
0,36.0,Self Enquiry,1,2.3978952727983707,Salaried,4.0,Basic,3.0,Divorced,1.0,1,2,1,Executive,10.399231263877141,2.0
0,33.0,Company Invited,3,1.791759469228055,Salaried,2.0,Deluxe,5.0,Divorced,3.0,0,3,1,Manager,9.922113016659292,2.0
0,35.0,Self Enquiry,1,2.302585092994046,Salaried,3.0,Basic,3.0,Married,2.0,0,4,0,Executive,9.738082108118487,3.0
0,27.0,Self Enquiry,1,2.0794415416798357,Salaried,3.0,Basic,5.0,Married,2.0,0,3,0,Executive,9.760828918798548,3.0
1,26.0,Self Enquiry,1,3.4339872044851463,Salaried,5.0,Basic,3.0,Unmarried,2.0,0,2,1,Executive,9.758057074325922,3.0
0,27.0,Company Invited,3,2.6390573296152584,Salaried,3.0,Standard,3.0,Unmarried,2.0,0,2,1,Senior Manager,10.074326772221049,2.0
0,36.0,Company Invited,1,1.791759469228055,Small Business,3.0,Deluxe,3.0,Unmarried,2.0,0,3,1,Manager,10.014447362844386,2.0
1,41.0,Self Enquiry,1,2.8903717578961645,Large Business,3.0,King,3.0,Divorced,2.0,0,4,1,VP,10.399231263877141,2.0
0,34.0,Company Invited,3,2.5649493574615367,Small Business,3.0,Deluxe,3.0,Unmarried,1.0,0,5,1,Manager,9.881650857926953,4.0
0,37.0,Self Enquiry,1,3.2188758248682006,Salaried,3.0,Basic,4.0,Divorced,5.0,0,4,1,Executive,9.799348512794982,4.0
0,46.0,Company Invited,3,2.3978952727983707,Small Business,3.0,Deluxe,3.0,Unmarried,5.0,1,5,1,Manager,9.94136120496421,4.0
0,35.0,Self Enquiry,1,2.6390573296152584,Salaried,2.0,Basic,3.0,Divorced,2.0,0,5,1,Executive,9.75666826558467,3.0
1,48.0,Self Enquiry,1,1.791759469228055,Salaried,4.0,Standard,3.0,Unmarried,1.0,1,5,0,Senior Manager,9.922358373286379,5.0
1,36.0,Self Enquiry,1,2.3978952727983707,Large Business,3.0,Basic,3.0,Unmarried,2.0,1,2,1,Executive,9.822331725575118,2.0
0,44.0,Self Enquiry,3,1.791759469228055,Small Business,3.0,Deluxe,5.0,Married,6.0,1,2,0,Manager,9.925933741365958,3.0
0,35.0,Company Invited,1,2.833213344056216,Small Business,4.0,Standard,5.0,Divorced,3.0,1,5,1,Senior Manager,10.12198030563491,4.0
0,36.0,Self Enquiry,3,3.367295829986474,Small Business,4.0,Deluxe,3.0,Divorced,1.0,1,2,1,Manager,10.014447362844386,2.0
0,33.0,Company Invited,1,1.791759469228055,Salaried,3.0,Standard,3.0,Unmarried,2.0,1,2,1,Senior Manager,10.256184595105637,3.0
0,35.0,Company Invited,3,3.1780538303479458,Salaried,3.0,Standard,5.0,Divorced,2.0,0,4,1,Senior Manager,10.088679984421766,3.0
0,36.0,Self Enquiry,1,3.367295829986474,Small Business,3.0,Basic,5.0,Divorced,4.0,1,4,1,Executive,10.014447362844386,1.0
0,31.0,Self Enquiry,1,2.5649493574615367,Salaried,3.0,Deluxe,3.0,Married,4.0,0,3,1,Manager,9.948221883876299,2.0
0,37.0,Self Enquiry,1,1.791759469228055,Salaried,4.0,Deluxe,3.0,Married,2.0,0,5,1,Manager,9.951944327804322,3.0
0,32.0,Self Enquiry,1,1.791759469228055,Small Business,3.0,Deluxe,3.0,Divorced,2.0,1,4,1,Manager,9.959962399464107,2.0
0,38.0,Company Invited,1,3.5263605246161616,Salaried,3.0,Deluxe,3.0,Unmarried,2.0,0,3,1,Manager,9.76457025334946,2.0
0,50.0,Self Enquiry,1,2.5649493574615367,Small Business,4.0,King,3.0,Married,6.0,1,4,1,VP,10.399231263877141,3.0
0,59.0,Self Enquiry,3,3.4339872044851463,Salaried,3.0,Standard,5.0,Unmarried,1.0,0,3,1,Senior Manager,10.027341014703126,2.0
0,36.0,Self Enquiry,1,2.6390573296152584,Large Business,3.0,Standard,3.0,Married,2.0,0,4,1,Senior Manager,10.130463749870515,3.0
0,55.0,Self Enquiry,1,2.6390573296152584,Small Business,3.0,Super Deluxe,3.0,Married,3.0,1,3,0,AVP,10.300786071311231,3.0
0,36.0,Company Invited,1,2.833213344056216,Salaried,4.0,Deluxe,4.0,Unmarried,2.0,0,4,1,Manager,9.975761701406148,4.0
0,45.0,Self Enquiry,1,2.5649493574615367,Salaried,3.0,Standard,5.0,Married,3.0,0,3,1,Senior Manager,10.115529710779164,3.0
0,35.0,Company Invited,1,1.791759469228055,Small Business,3.0,Basic,5.0,Divorced,5.0,0,2,0,Executive,9.752315764734389,4.0
1,36.0,Self Enquiry,1,2.70805020110221,Small Business,4.0,Basic,3.0,Divorced,1.0,1,2,0,Executive,9.819453556926119,4.0
0,59.0,Company Invited,3,1.791759469228055,Salaried,4.0,Deluxe,3.0,Unmarried,1.0,0,5,1,Manager,9.926862223852579,3.0
0,29.0,Self Enquiry,1,2.0794415416798357,Salaried,3.0,Basic,4.0,Divorced,1.0,0,4,0,Executive,9.781489395725279,3.0
0,31.0,Self Enquiry,1,1.791759469228055,Small Business,3.0,Basic,4.0,Unmarried,2.0,0,3,0,Executive,9.770013301136158,2.0
0,32.0,Self Enquiry,1,1.791759469228055,Salaried,3.0,Deluxe,4.0,Divorced,2.0,0,3,0,Manager,9.962699412167973,3.0
0,36.0,Self Enquiry,1,2.4849066497880004,Salaried,2.0,Deluxe,3.0,Divorced,4.0,0,2,0,Manager,9.800235922725653,2.0
0,31.0,Self Enquiry,1,2.5649493574615367,Salaried,3.0,Deluxe,3.0,Unmarried,2.0,0,5,0,Manager,10.014447362844386,4.0
0,35.0,Self Enquiry,3,2.5649493574615367,Small Business,4.0,Deluxe,5.0,Unmarried,1.0,0,2,0,Manager,10.014447362844386,3.0
0,45.0,Self Enquiry,1,2.4849066497880004,Salaried,3.0,Standard,5.0,Divorced,5.0,1,3,0,Senior Manager,10.248671729759362,2.0
0,37.0,Self Enquiry,1,2.5649493574615367,Small Business,3.0,Standard,3.0,Unmarried,5.0,0,2,0,Senior Manager,10.26339725898479,1.0
0,46.0,Self Enquiry,2,2.3978952727983707,Small Business,4.0,Deluxe,4.0,Married,1.0,1,5,0,Manager,9.904537001671699,4.0
0,30.0,Self Enquiry,1,1.791759469228055,Salaried,4.0,Deluxe,3.0,Divorced,2.0,1,2,1,Manager,9.909767790493278,3.0
0,35.0,Self Enquiry,1,1.791759469228055,Small Business,4.0,Basic,3.0,Unmarried,2.0,0,4,1,Executive,9.7902628618215,1.0
0,55.0,Self Enquiry,3,1.791759469228055,Salaried,3.0,Standard,3.0,Divorced,4.0,0,2,0,Senior Manager,10.136145696218923,4.0
0,38.0,Company Invited,1,2.4849066497880004,Small Business,5.0,Deluxe,3.0,Married,1.0,1,2,0,Manager,9.919803717021065,5.0
0,34.0,Self Enquiry,1,2.5649493574615367,Small Business,3.0,Deluxe,4.0,Divorced,2.0,0,5,0,Manager,10.014447362844386,3.0
0,56.0,Self Enquiry,1,2.5649493574615367,Salaried,5.0,Standard,3.0,Unmarried,5.0,0,2,0,Senior Manager,10.010546624829535,2.0
0,23.0,Self Enquiry,3,2.0794415416798357,Large Business,3.0,Basic,5.0,Married,4.0,0,3,1,Executive,9.75973264889099,4.0
0,51.0,Self Enquiry,1,2.70805020110221,Salaried,3.0,Basic,3.0,Divorced,4.0,0,3,1,Executive,9.74537068443899,3.0
0,36.0,Self Enquiry,1,2.0794415416798357,Salaried,4.0,Deluxe,3.0,Divorced,2.0,0,4,1,Manager,10.014447362844386,2.0
1,46.0,Self Enquiry,3,2.70805020110221,Small Business,4.0,Standard,3.0,Unmarried,2.0,0,5,0,Senior Manager,10.111273781529295,4.0
0,40.0,Company Invited,1,1.791759469228055,Salaried,4.0,Super Deluxe,4.0,Divorced,2.0,0,2,1,AVP,10.25776462387486,5.0
0,51.0,Self Enquiry,3,3.295836866004329,Small Business,3.0,Deluxe,3.0,Unmarried,1.0,1,5,1,Manager,9.925297966799977,4.0
0,30.0,Self Enquiry,3,2.302585092994046,Small Business,4.0,Deluxe,4.0,Married,2.0,1,3,1,Manager,9.913883328718248,4.0
0,46.0,Company Invited,1,1.791759469228055,Small Business,4.0,Standard,5.0,Divorced,3.0,1,2,1,Senior Manager,10.153195134975888,3.0
0,32.0,Self Enquiry,3,2.4849066497880004,Small Business,4.0,Deluxe,3.0,Unmarried,2.0,0,5,1,Manager,9.903987427577778,2.0
0,54.0,Self Enquiry,1,2.0794415416798357,Large Business,3.0,Standard,3.0,Divorced,1.0,0,4,1,Senior Manager,10.25937718820102,2.0
0,24.0,Self Enquiry,3,2.1972245773362196,Salaried,4.0,Deluxe,3.0,Divorced,1.0,0,4,1,Manager,9.903437551286085,2.0
0,36.0,Company Invited,3,2.302585092994046,Small Business,3.0,Deluxe,3.0,Divorced,2.0,0,2,1,Manager,10.014447362844386,2.0
0,58.0,Self Enquiry,3,2.772588722239781,Small Business,3.0,Super Deluxe,3.0,Unmarried,1.0,0,3,1,AVP,10.270627546322624,3.0
0,44.0,Company Invited,1,3.367295829986474,Small Business,3.0,Deluxe,4.0,Divorced,5.0,0,3,1,Manager,9.743436164387901,3.0
1,37.0,Self Enquiry,2,2.4849066497880004,Salaried,3.0,Basic,5.0,Married,5.0,1,2,1,Executive,9.745253547271233,3.0
0,32.0,Self Enquiry,1,1.791759469228055,Salaried,3.0,Basic,5.0,Unmarried,2.0,0,2,0,Executive,9.795679599901822,5.0
1,20.0,Company Invited,1,2.4849066497880004,Salaried,4.0,Basic,3.0,Unmarried,2.0,1,2,1,Executive,9.794007451917308,4.0
0,34.0,Self Enquiry,1,2.5649493574615367,Salaried,3.0,Deluxe,3.0,Unmarried,2.0,0,3,1,Manager,9.893891658862682,2.0
0,37.0,Company Invited,1,2.0794415416798357,Salaried,4.0,Deluxe,3.0,Married,6.0,0,2,0,Manager,9.911604520638075,4.0
0,59.0,Company Invited,2,2.0794415416798357,Salaried,4.0,King,3.0,Divorced,1.0,0,2,1,VP,10.399231263877141,3.0
0,50.0,Company Invited,1,1.791759469228055,Salaried,3.0,King,4.0,Divorced,4.0,1,2,0,VP,10.399231263877141,5.0
1,25.0,Self Enquiry,3,2.3978952727983707,Small Business,4.0,Deluxe,3.0,Unmarried,2.0,1,3,1,Manager,9.9400123272185,2.0
0,25.0,Self Enquiry,1,2.5649493574615367,Small Business,4.0,Basic,3.0,Divorced,2.0,0,2,1,Executive,9.791941277791215,5.0
0,22.0,Self Enquiry,1,3.044522437723423,Small Business,3.0,Basic,3.0,Unmarried,2.0,0,2,1,Executive,9.790934566296798,3.0
0,51.0,Company Invited,1,1.791759469228055,Small Business,4.0,Standard,5.0,Unmarried,4.0,0,2,1,Senior Manager,10.020559224121966,1.0
1,34.0,Company Invited,1,2.5649493574615367,Salaried,5.0,Deluxe,3.0,Unmarried,2.0,1,5,1,Manager,9.955795332159473,4.0
0,54.0,Company Invited,2,3.4657359027997265,Salaried,2.0,Super Deluxe,3.0,Unmarried,3.0,1,3,1,AVP,10.38368900675831,1.0
0,24.0,Self Enquiry,1,3.1780538303479458,Salaried,3.0,Basic,3.0,Divorced,1.0,0,4,1,Executive,9.78549199429842,2.0
0,34.0,Self Enquiry,1,2.5649493574615367,Salaried,4.0,Deluxe,4.0,Married,7.0,0,3,0,Manager,9.878426121940757,3.0
0,37.0,Self Enquiry,3,2.1972245773362196,Salaried,3.0,Standard,3.0,Unmarried,3.0,0,3,0,Senior Manager,10.018065457243564,2.0
